ID,biking,smoking,heart.disease
1,30.80124571,10.89660802,11.76942278
2,65.12921517,2.219563176,2.854081478
3,1.959664531,17.58833051,17.17780348
4,44.80019562,2.802558875,6.816646909
5,69.42845368,15.9745046,4.062223522
6,54.40362555,29.33317552,9.550045997
7,49.05616196,9.060845771,7.62450698
8,4.784604202,12.8350208,15.85465443
9,65.7307883,11.99129728,3.06746173
10,35.25744894,23.27768343,12.09848437
11,51.82556749,14.43511838,6.430248151
12,52.93619716,25.07486857,8.608272075
13,48.76747849,11.02327097,6.722523801
14,26.16680079,6.645749549,10.59780712
15,10.55307492,5.990506309,14.07947833
16,47.16371641,14.09783716,8.744845305
17,61.68525625,16.84081673,5.443342025
18,33.94439412,5.758595187,9.162306417
19,39.69762437,12.66286943,9.74718577
20,63.12469829,22.91747999,5.858277882
21,28.51012944,14.85510636,11.7247416
22,18.52597311,26.4049774,16.02818767
23,24.47946969,26.92496068,15.00071543
24,18.35864634,23.4319568,16.48820593
25,30.38818374,16.98608636,12.35660754
26,52.98521975,27.68902698,9.088444851
27,60.50944819,3.981962099,3.217214275
28,45.24711035,2.137475294,6.593719148
29,48.59704435,10.38842643,6.65942021
30,25.13977081,5.836372759,11.48293708
31,44.17309485,3.967605745,7.982227482
32,61.14694641,27.78340597,7.722462466
33,27.26789821,16.85329322,12.16481665
34,49.52709985,15.24973082,8.027404341
35,20.19720598,10.33148947,13.41654743
36,18.81122796,16.75344203,15.08736023
37,67.35076463,23.87372679,5.279863377
38,29.90447536,24.58454991,13.50761916
39,14.01175979,21.01214184,15.99298644
40,45.81548815,4.716126882,7.040621065
41,31.47725131,22.16582548,13.2385262
42,17.10820358,1.352878261,11.53573538
43,9.665082455,3.504296324,12.88681678
44,23.93300498,4.18586919,10.89445708
45,22.63630115,13.67898283,13.46603274
46,27.24747669,13.37977678,12.3288989
47,20.78960155,19.45542859,14.41578311
48,46.61371512,9.249332569,6.809354636
49,28.62263219,12.48273387,11.36836504
50,21.12749825,18.94134829,14.82536235
51,68.57434853,1.804703605,0.683926391
52,41.68436666,13.06720504,9.088849287
53,69.87959264,17.3516599,4.256483395
54,9.817276993,23.81899489,17.83413283
55,4.379280217,20.66297135,17.41181092
56,28.61037798,1.147962056,10.05580546
57,21.46001555,22.97600182,15.0086341
58,27.6016559,4.388380354,10.89368525
59,57.23050393,12.80499995,5.306817999
60,26.39728177,7.763930452,11.02432518
61,39.01047954,0.767680134,8.763929652
62,11.52748668,6.739621963,14.60030161
63,17.68428703,8.278009107,13.80212551
64,19.93525278,6.0764383,11.63207228
65,42.31004013,8.412396649,7.463001741
66,1.119154122,19.55035826,17.71019095
67,23.27682146,14.30663488,13.26638497
68,14.96581609,12.86915316,15.30038239
69,30.66334995,16.66320382,11.75315615
70,22.92518278,24.59878725,16.19911804
71,59.77030799,8.700769216,5.685681852
72,70.45606084,12.74071089,2.905987168
73,21.7503852,18.85751066,14.17984416
74,49.36068632,23.20948019,9.466026039
75,4.487241853,23.41899999,18.76693342
76,14.69326919,17.87439357,16.3479313
77,40.61162777,25.99371062,12.04664323
78,8.764197493,3.899040361,13.37300547
79,56.72541209,16.18097739,6.73577092
80,60.55114896,18.06520194,6.516703645
81,64.38489258,10.52953095,4.566894526
82,20.26279772,11.17878297,12.37907342
83,30.52008641,12.43347742,11.1407355
84,30.46154246,29.86081063,14.32997588
85,3.705893887,21.4941886,17.87769197
86,15.08246882,16.61520013,14.93591675
87,30.99784194,29.01642636,13.75798666
88,14.62541107,6.798346195,14.47896012
89,28.10306125,14.73135048,12.79455485
90,34.68024108,8.638104997,8.33171807
91,6.94746345,26.10565826,18.68979793
92,26.86066205,16.71941321,13.48768887
93,41.01932285,12.99918731,10.26488992
94,31.93273825,28.18287304,13.17374097
95,69.8771469,26.33119673,6.07248546
96,63.02985367,22.24713195,6.356719169
97,21.34999932,12.8558535,13.79968304
98,3.81133785,17.72378818,18.46235132
99,67.51410645,26.95539991,6.582685079
100,12.58089344,16.98978254,14.85568485
101,61.23219723,4.613550452,4.361606171
102,64.33230408,29.4237378,7.707397642
103,31.87243934,16.24189783,10.52602928
104,11.93656171,3.486567156,14.39144836
105,52.36026811,19.84107694,7.816388638
106,22.51663773,7.695172895,11.66476484
107,49.76482164,3.572944095,6.264574362
108,22.7926359,9.816828604,10.91176546
109,49.74874772,20.49183074,8.700197876
110,68.20412211,2.192944522,1.966448192
111,15.18510123,14.52036208,14.58782526
112,58.04690125,15.71358501,6.559335823
113,69.49968843,23.16787482,5.753653628
114,2.616134505,4.31908037,14.85177662
115,2.1363434,25.84013027,19.24268784
116,25.77157053,28.54034726,14.42934845
117,11.61564578,6.345528909,14.41148296
118,17.19745622,20.73345586,15.19818432
119,27.68166193,18.63700853,11.50759515
120,9.648095836,8.370038317,15.57636834
121,65.62195609,14.10662347,4.044246911
122,46.55622823,26.89374982,10.54279017
123,48.30047218,12.01178695,7.29927744
124,15.14129181,7.893749731,13.61913001
125,71.57935106,18.93788549,4.090764839
126,4.681249725,10.98828186,15.86858278
127,22.47672275,25.97232328,14.83034396
128,49.29620052,5.088788081,6.073792277
129,17.64813542,27.19256359,15.13896804
130,9.413778075,8.608537791,13.52507124
131,64.91566811,10.88939059,3.774387967
132,3.950367197,6.359579622,14.63576932
133,67.34245706,16.62261931,3.744498374
134,71.2389548,25.19415179,6.001522671
135,70.32387831,26.23347428,5.235731203
136,28.42490128,20.20844855,13.00384229
137,73.71373241,14.10165224,2.989067702
138,56.05803164,8.206115872,5.523931023
139,21.588199,2.573494933,11.37428982
140,16.27616083,3.463449097,13.59875475
141,26.98868993,15.88332597,12.92167259
142,11.32681438,9.230654944,14.52434891
143,55.58058409,7.671307447,5.726827025
144,50.60380235,28.91847124,10.6355905
145,60.40173934,24.83214097,7.572614227
146,71.48675064,21.63736841,3.668427308
147,37.97850712,13.9453443,10.10679383
148,48.6921149,23.56408809,9.599094052
149,40.01640021,7.811634912,7.65818704
150,32.14855255,0.969084336,8.873984686
151,12.31828291,26.89080585,17.75859481
152,31.6596669,21.39950872,12.09312438
153,55.84189302,2.24871617,4.5002273
154,28.82695275,11.40986663,12.81263706
155,55.47228696,5.267437815,4.916383448
156,54.35403357,16.34152019,7.591797278
157,70.33169887,15.05886371,3.037431769
158,54.06260915,20.38881362,8.051195107
159,59.57564529,24.79263808,8.519927863
160,2.818204165,23.24614047,18.48295977
161,30.46033498,2.525654416,8.936582938
162,22.34344951,23.20464246,15.90854932
163,14.69688602,9.831682231,13.25820347
164,70.90281539,29.9140032,6.335021535
165,35.33511321,9.147502025,9.751894218
166,72.17376645,15.27366284,2.828356704
167,44.69821671,10.00258894,7.449412576
168,70.36136631,20.33991502,3.897109851
169,7.619083897,26.66152289,18.68813042
170,29.67363351,2.396795642,9.387907823
